"Haltestellen_Id","Haltestellennummer","Haltestellenkurzname","Haltestellenlangname"
723,1991,"WALPOST","Waldegg, Post"
386,2820,"BWAL07","Wallisellen, Bahnhof"
385,439,"BELA07","Wallisellen, Belair"
555,3241,"WFLO07","Wallisellen, Florastrasse"
652,2983,"WGLA","Wallisellen, Glatt (Bus)"
387,6735,"WGLA07","Wallisellen, Glatt (Tram)"
384,1176,"HRTI07","Wallisellen, Herti"
388,6659,"WNEU07","Wallisellen, Neugut"
31,12826,"WAL99","Waltikon"
545,1266,"WHAE","Wangen, Hätzelwisen"
544,6364,"STIE","Wangen, Stierwisen"
546,2850,"WELI","Wangen, Weidli"
416,3183,"AEGW","Weiningen ZH, Aegelsee"
417,125,"AUSW","Weiningen ZH, Ausserdorf"
418,1571,"WLIN","Weiningen ZH, Lindenplatz"
419,2268,"SWEI","Weiningen ZH, Schulhaus"
17,6254,"LAEN","Zollikerb., Langägerten/Spital"
32,13002,"ZOB99","Zollikerberg"
688,3826,"HASE","Zollikerberg, Hasenbart"
620,1792,"OBHU","Zollikerberg, Oberhueb"
618,6470,"RESI","Zollikerberg, Resirain"
619,2375,"SENN","Zollikerberg, Sennhof"
687,3756,"SZOL","Zollikerberg, Spital"
18,3002,"ZOBE","Zollikerberg, Station"
689,3747,"TRIC","Zollikerberg, Trichtenhauserm."
13,53,"ZALL","Zollikon, Allmend"
669,3003,"BZOL","Zollikon, Bahnhof"
615,418,"BUEB","Zollikon, Bahnübergang"
612,476,"BEUG","Zollikon, Beugi"
613,715,"DUFP","Zollikon, Dufourplatz"
614,824,"FBST","Zollikon, Felbenstrasse"
10,6044,"GAAZ","Zollikon, Garage G.-Maurer-Str"
11,961,"GDEH","Zollikon, Gemeindehaus"
611,1013,"GOHA","Zollikon, Goldhaldenplatz"
12,1277,"HSTR","Zollikon, Höhestrasse"
15,2040,"RWIE","Zollikon, Rebwiesstrasse"
14,2341,"SUET","Zollikon, Schützenstrasse"
668,2363,"SEES","Zollikon, Seestrasse"
30,12543,"ZUMI99","Zumikon"
590,705,"DOZE","Zumikon, Dorfzentrum"
592,1075,"GOES","Zumikon, Gössikon"
591,2826,"WALT","Zumikon, Waltikon"
382,3027,"FLUG07","Zürich Flughafen, Bahnhof"
383,6232,"FRAF07","Zürich Flughafen, Fracht"
334,7,"AARG","Zürich, Aargauerstrasse"
92,46,"ALBG","Zürich, Albisgütli"
44,3797,"ARAN","Zürich, Albisrank"
308,47,"ALBR","Zürich, Albisrieden"
307,3705,"ALBD","Zürich, Albisriederdörfli"
41,48,"ALBP","Zürich, Albisriederplatz"
283,67,"ATRO","Zürich, Alte Trotte"
697,70,"ALTE","Zürich, Altenhofstrasse"
140,3706,"AHOS","Zürich, Althoos"
329,88,"ALTR","Zürich, Altried"
560,3150,"AMBO","Zürich, Am Börtli"
96,92,"AMSU","Zürich, Am Suteracher"
559,3151,"APPE","Zürich, Appenzellerstrasse"
576,6627,"ASPH","Zürich, Aspholz"
